stage,peak_entities,ticks,tick_mean_ms,tick_p99_ms,notes
stage0,100,600,0.006679,0.009416,naive O(n^2) separation
stage0,500,600,0.162354,0.282708,naive O(n^2) separation
stage0,1000,600,0.519488,0.615750,naive O(n^2) separation
stage0,2000,600,1.969318,2.490083,naive O(n^2) separation
stage0,5000,600,12.164376,16.094458,naive O(n^2) separation
