stage,peak_entities,ticks,tick_mean_ms,tick_p99_ms,notes
stage0,100,1200,0.005323,0.008959,full Loop: spawn director + combat (4 turrets)
stage0,500,1200,0.155789,0.271375,full Loop: spawn director + combat (4 turrets)
stage0,1000,1200,0.903159,1.231500,full Loop: spawn director + combat (4 turrets)
stage0,2000,1200,3.062306,4.107250,full Loop: spawn director + combat (4 turrets)
stage0,5000,1200,14.099382,24.167417,full Loop: spawn director + combat (4 turrets)
